InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped,Instruction_MainExp.started,Instruction_MainExp.stopped,TakeABreak.started,TakeABreak.stopped,key_respBreak.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,configurationNumber,CCCondition
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,235.4078,236.4413,a,1,0.5194,,236.4414,236.9412,0,5,5,5,1,practice,1,6,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,,,,,,,236.9421,242.7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.7907,245.6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,1,0,left,a,,,,,245.6752,249.3579,31.68696419,-2.1875,-3.143768311,1,0,0,3.6824,fixationPoint,249.3581,249.4596,249.4605,251.027,31.68696419,9053.418339,545.4684549,a,1,1.5547,,251.027,251.2267,0,0,0,0,1,4,sparse,90,217,-164,68,123,222,26,214,216,-218,159,-120,223,-110,82,-115,-130,-224,-120,-68,-219,79,-175,19,-128,90,270,360,90,270,270,180,90,90,90,270,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,2,0,left,a,,,,,251.2274,251.6604,31.68696419,-2.1875,-3.143768311,1,0,0,0.4328,fixationPoint,251.6605,251.7596,251.7597,252.7751,31.68696419,9053.418339,545.4684549,a,1,1.0102,,252.7752,252.9767,0,1,1,1,1,1,rich,39,169,66,-126,125,-169,169,-130,19,-169,-116,-125,-167,-224,-216,218,-129,171,-218,18,-208,166,26,17,170,180,90,360,270,90,90,90,270,180,180,270,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,3,0,left,a,,,,,252.977,253.1968,31.68696419,-2.1875,-3.143768311,1,0,0,0.2198,fixationPoint,253.1968,253.2925,253.2926,255.7098,31.68696419,9053.418339,545.4684549,a,1,2.4055,,255.7098,255.909,0,2,2,2,1,2,sparse,22,-162,126,222,26,17,170,126,172,-25,-117,-175,-206,-224,-216,116,-19,130,-174,217,-164,-218,159,-21,162,90,90,180,360,360,270,360,360,360,360,180,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,4,180,right,s,,,,,255.9094,256.16,31.68696419,-2.1875,-3.143768311,1,0,0,0.2505,fixationPoint,256.1601,256.2603,256.2604,257.4267,31.68696419,9053.418339,545.4684549,s,1,1.1607,,257.4267,257.6249,0,3,3,3,1,4,sparse,76,19,-128,159,121,214,216,219,165,-218,159,-162,126,-219,119,-169,-116,-111,-31,-175,-206,18,-208,81,-114,90,270,180,180,270,180,360,360,360,270,360,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,5,180,right,s,,,,,257.6254,257.6796,31.68696419,-2.1875,-3.143768311,1,0,0,0.054,fixationPoint,257.6796,257.7761,257.7762,259.6574,31.68696419,9053.418339,545.4684549,s,1,1.8665,,259.6574,259.8599,0,4,4,4,1,3,sparse,85,-19,-173,219,165,68,123,214,216,-160,68,-64,120,-226,34,162,-21,224,-216,167,-163,-167,-74,-224,-216,360,360,360,90,180,270,90,360,270,270,360,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,6,180,right,s,,,,,259.8608,260.0754,31.68696419,-2.1875,-3.143768311,1,0,0,0.2143,fixationPoint,260.0754,260.1763,260.1764,264.9098,31.68696419,9053.418339,545.4684549,s,1,4.7164,,264.9099,265.1098,0,5,5,5,1,3,sparse,95,-21,-224,126,172,219,165,166,26,-166,207,-223,206,-219,119,169,-75,18,-208,224,-216,-72,-121,-115,-130,180,180,360,180,360,180,270,180,90,180,360,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,,,,,,,,,,,,,,practice,0,7,0,left,a,,,,,265.1101,265.4427,31.68696419,-2.1875,-3.143768311,1,0,0,0.3326,fixationPoint,265.4428,265.5434,265.5434,268.2618,31.68696419,9053.418339,545.4684549,a,1,2.7148,,268.2618,268.46,0,6,6,6,1,1,rich,7,62,223,-166,207,-226,34,-162,126,-169,-116,-168,-160,-161,-27,15,-162,162,-21,79,-175,219,165,219,129,180,180,360,180,270,360,180,360,270,180,360,,,,,,,,,,,,,,,,,,,,
